Season,Age,Team,GP,GS,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,TRB,AST,STL,BLK,TOV,PF,H,W,H,W
1996-97,21,PHL,76,74,40.1,23.5,8.2,19.8,.416,2.0,6.0,.341,5.0,7.2,.702,1.5,2.6,4.1,7.5,2.1,0.3,4.4,3.1,183,75,183,75
1997-98,22,PHL,80,80,39.4,22.0,8.1,17.6,.461,0.9,2.9,.298,4.9,6.7,.729,1.1,2.6,3.7,6.2,2.2,0.3,3.0,2.5,183,75,183,75
1998-99,23,PHL,48,48,41.5,26.8,9.1,22.0,.412,1.2,4.1,.291,7.4,9.9,.751,1.4,3.5,4.9,4.6,2.3,0.1,3.5,2.0,183,75,183,75
1999-00☆,24,PHL,70,70,40.8,28.4,10.4,24.8,.421,1.3,3.7,.341,6.3,8.9,.713,1.0,2.8,3.8,4.7,2.1,0.1,3.3,2.3,183,75,183,75
2000-01★,25,PHL,71,71,42.0,31.1,10.7,25.5,.420,1.4,4.3,.320,8.2,10.1,.814,0.7,3.1,3.8,4.6,2.5,0.3,3.3,2.1,183,75,183,75
2001-02☆,26,PHL,60,60,43.7,31.4,11.1,27.8,.398,1.3,4.5,.291,7.9,9.8,.812,0.7,3.8,4.5,5.5,2.8,0.2,4.0,1.7,183,75,183,75
2002-03☆,27,PHL,82,82,42.5,27.6,9.8,23.7,.414,1.0,3.7,.277,7.0,9.0,.774,0.8,3.4,4.2,5.5,2.7,0.2,3.5,1.8,183,75,183,75
2003-04☆,28,PHL,48,47,42.5,26.4,9.1,23.4,.387,1.2,4.1,.286,7.1,9.5,.745,0.7,3.0,3.7,6.8,2.4,0.1,4.4,1.8,183,75,183,75
2004-05☆,29,PHL,75,75,42.3,30.7,10.3,24.2,.424,1.4,4.5,.308,8.7,10.5,.835,0.7,3.3,4.0,7.9,2.4,0.1,4.6,1.9,183,75,183,75
2005-06☆,30,PHL,72,72,43.1,33.0,11.3,25.3,.447,1.0,3.1,.323,9.4,11.5,.814,0.6,2.6,3.2,7.4,1.9,0.1,3.4,1.7,183,75,183,75
2006-07 *☆,31,All Teams,65,64,42.5,26.3,8.9,20.2,.442,1.0,3.0,.315,7.5,9.4,.795,0.4,2.6,3.0,7.2,1.9,0.2,4.1,1.5,183,75,183,75
2006-07 *☆,31,DEN,50,49,42.4,24.8,8.6,18.9,.454,1.0,2.9,.347,6.6,8.7,.759,0.3,2.7,3.0,7.2,1.8,0.2,4.0,1.5,183,75,183,75
2006-07 *☆,31,PHL,15,15,42.7,31.2,10.1,24.4,.413,0.8,3.5,.226,10.3,11.6,.885,0.5,2.3,2.7,7.3,2.2,0.1,4.4,1.4,183,75,183,75
2007-08☆,32,DEN,82,82,41.8,26.4,8.7,19.0,.458,1.2,3.4,.345,7.9,9.7,.809,0.6,2.4,3.0,7.1,2.0,0.1,3.0,1.3,183,75,183,75
2008-09 *☆,33,All Teams,57,53,36.7,17.5,6.1,14.6,.417,0.5,1.7,.283,4.8,6.1,.781,0.5,2.5,3.0,5.0,1.5,0.1,2.6,1.5,183,75,183,75
2008-09 *☆,33,DET,54,50,36.5,17.4,6.1,14.7,.416,0.5,1.7,.286,4.7,6.0,.786,0.5,2.6,3.1,4.9,1.6,0.1,2.5,1.5,183,75,183,75
2008-09 *☆,33,DEN,3,3,41.0,18.7,6.0,13.3,.450,0.7,2.7,.250,6.0,8.3,.720,1.0,1.7,2.7,6.7,1.0,0.3,3.3,1.0,183,75,183,75
2009-10 *☆,34,All Teams,28,24,30.9,13.8,4.9,11.3,.430,0.3,0.9,.360,3.7,4.7,.794,0.6,2.2,2.8,4.0,0.7,0.1,2.3,1.7,183,75,183,75
2009-10 *☆,34,PHL,25,24,31.9,13.9,4.8,11.6,.417,0.3,1.0,.333,3.9,4.8,.824,0.6,2.4,3.0,4.1,0.7,0.1,2.3,1.7,183,75,183,75
2009-10 *☆,34,MEM,3,0,22.2,12.3,5.0,8.7,.577,0.3,0.3,1.000,2.0,4.0,.500,0.3,1.0,1.3,3.7,0.3,0.0,2.3,1.7,183,75,183,75
