Season,Age,Team,GP,GS,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,TRB,AST,STL,BLK,TOV,PF,H,W,H,W
2003-04,18,CLE,79,79,39.5,20.9,7.9,18.9,.417,0.8,2.7,.290,4.4,5.8,.754,1.3,4.2,5.5,5.9,1.6,0.7,3.5,1.9,206,113,206,113
2004-05☆,19,CLE,80,80,42.4,27.2,9.9,21.1,.472,1.4,3.9,.351,6.0,8.0,.750,1.4,6.0,7.3,7.2,2.2,0.7,3.3,1.8,206,113,206,113
2005-06☆,20,CLE,79,79,42.5,31.4,11.1,23.1,.480,1.6,4.8,.335,7.6,10.3,.738,0.9,6.1,7.0,6.6,1.6,0.8,3.3,2.3,206,113,206,113
2006-07☆,21,CLE,78,78,40.9,27.3,9.9,20.8,.476,1.3,4.0,.319,6.3,9.0,.698,1.1,5.7,6.7,6.0,1.6,0.7,3.2,2.2,206,113,206,113
2007-08☆,22,CLE,75,74,40.4,30.0,10.6,21.9,.484,1.5,4.8,.315,7.3,10.3,.712,1.8,6.1,7.9,7.2,1.8,1.1,3.4,2.2,206,113,206,113
2008-09★,23,CLE,81,81,37.7,28.4,9.7,19.9,.489,1.6,4.7,.344,7.3,9.4,.780,1.3,6.3,7.6,7.2,1.7,1.1,3.0,1.7,206,113,206,113
2009-10★,24,CLE,76,76,39.0,29.7,10.1,20.1,.503,1.7,5.1,.333,7.8,10.2,.767,0.9,6.4,7.3,8.6,1.6,1.0,3.4,1.6,206,113,206,113
2010-11☆,25,MIA,79,79,38.8,26.7,9.6,18.8,.511,1.2,3.5,.330,6.4,8.4,.759,1.0,6.5,7.5,7.0,1.6,0.6,3.6,2.1,206,113,206,113
2011-12★,26,MIA,62,62,37.5,27.1,10.0,18.9,.531,0.9,2.4,.362,6.2,8.1,.771,1.5,6.4,7.9,6.2,1.9,0.8,3.4,1.5,206,113,206,113
2012-13★,27,MIA,76,76,37.9,26.8,10.1,17.8,.565,1.4,3.3,.406,5.3,7.0,.753,1.3,6.8,8.0,7.2,1.7,0.9,3.0,1.4,206,113,206,113
2013-14☆,28,MIA,77,77,37.7,27.1,10.0,17.6,.567,1.5,4.0,.379,5.7,7.6,.750,1.1,5.9,6.9,6.3,1.6,0.3,3.5,1.6,206,113,206,113
2014-15☆,29,CLE,69,69,36.1,25.3,9.0,18.5,.488,1.7,4.9,.354,5.4,7.7,.710,0.7,5.3,6.0,7.4,1.6,0.7,3.9,2.0,206,113,206,113
2015-16☆,30,CLE,76,76,35.6,25.3,9.7,18.6,.520,1.1,3.7,.309,4.7,6.5,.731,1.5,6.0,7.4,6.8,1.4,0.6,3.3,1.9,206,113,206,113
2016-17☆,31,CLE,74,74,37.8,26.4,9.9,18.2,.548,1.7,4.6,.363,4.8,7.2,.674,1.3,7.3,8.6,8.7,1.2,0.6,4.1,1.8,206,113,206,113
2017-18☆,32,CLE,82,82,36.9,27.5,10.5,19.3,.542,1.8,5.0,.367,4.7,6.5,.731,1.2,7.5,8.6,9.1,1.4,0.9,4.2,1.7,206,113,206,113
2018-19☆,33,LAL,55,55,35.2,27.4,10.1,19.9,.510,2.0,5.9,.339,5.1,7.6,.665,1.0,7.4,8.5,8.3,1.3,0.6,3.6,1.7,206,113,206,113
2019-20☆,34,LAL,67,67,34.6,25.3,9.6,19.4,.493,2.2,6.3,.348,3.9,5.7,.693,1.0,6.9,7.8,10.2,1.2,0.5,3.9,1.8,206,113,206,113
2020-21☆,35,LAL,45,45,33.4,25.0,9.4,18.3,.513,2.3,6.3,.365,4.0,5.7,.698,0.6,7.0,7.7,7.8,1.1,0.6,3.7,1.6,206,113,206,113
2021-22☆,36,LAL,56,56,37.2,30.3,11.4,21.8,.524,2.9,8.0,.359,4.5,6.0,.756,1.1,7.1,8.2,6.2,1.3,1.1,3.5,2.2,206,113,206,113
2022-23☆,37,LAL,55,54,35.5,28.9,11.1,22.2,.500,2.2,6.9,.321,4.6,5.9,.768,1.2,7.1,8.3,6.8,0.9,0.6,3.2,1.6,206,113,206,113
2023-24☆,38,LAL,71,71,35.3,25.7,9.6,17.9,.540,2.1,5.1,.410,4.3,5.7,.750,0.9,6.4,7.3,8.3,1.3,0.5,3.5,1.1,206,113,206,113
2024-25☆,39,LAL,70,70,34.9,24.4,9.3,18.1,.513,2.1,5.7,.376,3.7,4.7,.782,1.0,6.8,7.8,8.2,1.0,0.6,3.7,1.4,206,113,206,113
